6in4                                                          , v26
libruby3.0                                                    , v3.0.1-1
libsensors5                                                   , v3.6.0-1
libsmartcols1                                                 , v2.36.1-2
libsodium                                                     , v1.0.18-3
libsoxr                                                       , v0.1.3-2
libsqlite3-0                                                  , v3330000-2
libss2                                                        , v1.45.6-2
libssh2-1                                                     , v1.10.0-1
libstdcpp6                                                    , v12.2.0-4
libsysfs2                                                     , v2.1.0-3
libtasn1                                                      , v4.16.0-1
libtiff5                                                      , v4.2.0-2
libtirpc                                                      , v1.3.1-1
libubox20210516                                               , v2021-05-16-b14c4688-2
libubus-lua                                                   , v2021-06-30-4fc532c8-2
libubus20210603                                               , v2021-06-03-a8cf6782-2
libubus20210630                                               , v2021-06-30-4fc532c8-2
libuci-lua                                                    , v2021-04-14-4b3db117-5
libuci20130104                                                , v2021-04-14-4b3db117-5
libuclient20201210                                            , v2021-05-14-6a6011df-1
libudev-zero                                                  , v0.4.8-1
libudns                                                       , v0.4-1
libunbound                                                    , v1.13.1-1
libunistring                                                  , v0.9.10-1
libunwind8                                                    , v1.5.0-1
libupnp                                                       , v1.14.7-1
liburing                                                      , v2.0-1
libusb-1.0-0                                                  , v1.0.24-5
libustream-openssl20201210                                    , v2020-12-10-68d09243-2
libuuid1                                                      , v2.36.1-2
libuv1                                                        , v1.41.0-1
libvorbis                                                     , v1.3.7-1
libwebp                                                       , v1.2.0-1
libwebsockets-full                                            , v4.1.6-1
libwolfssl5.5.3.99a5b54a                                      , v5.5.3-stable-1
libwrap                                                       , v7.6-4
libwxbase                                                     , v2.8.12-1
libxml2                                                       , v2.10.3-2
libxml2-dev                                                   , v2.10.3-2
libxtables12                                                  , v1.8.7-1
libyaml                                                       , v0.2.5-1
libzip-gnutls                                                 , v1.7.3-1
LingTiGameAcc                                                 , v20210307-1.4.2
linkease                                                      , v0.3.58-1
lm-sensors                                                    , v3.6.0-1
lm-sensors-detect                                             , v3.6.0-1
logd                                                          , v2020-10-25-9ef88681-2
losetup                                                       , v2.36.1-2
lsblk                                                         , v2.36.1-2
lscpu                                                         , v2.36.1-2
lsof                                                          , v4.94.0-1
lua                                                           , v5.1.5-9
lua-cjson                                                     , v2.1.0-2
lua-maxminddb                                                 , v0.2-6
lua-md5                                                       , v1.3-1
luasec                                                        , v0.9-1
luasocket                                                     , v2019-04-21-733af884-1
luci                                                          , vgit-21.175.10795-3d7bad0-1
luci-app-accesscontrol                                        , v1-11
luci-app-adbyby-plus                                          , v2.0-75
luci-app-adguardhome                                          , v1.8-11
luci-app-airplay2                                             , v1-10
luci-app-amule                                                , vgit-21.181.50546-a9b30b2-1
luci-app-aria2                                                , v1.0.1-3
luci-app-arpbind                                              , v1-3
luci-app-autoreboot                                           , v1.0-8
luci-app-baidupcs-web                                         , v1.0-5
luci-app-bandwidthd                                           , v1-1
luci-app-beardropper                                          , v1.1-20200522
luci-app-cifs-mount                                           , v1-7
luci-app-clash                                                , vv1.8.0
luci-app-control-timewol                                      , v1.0-3-20190309
luci-app-control-webrestriction                               , v1.0-5-20200107
luci-app-control-weburl                                       , v1.0-3-20190309
luci-app-cupsd                                                , v1.2-1
luci-app-ddns                                                 , v2.4.9-8
luci-app-ddnsto                                               , v1.0.0-1
luci-app-diskman                                              , vv0.2.11-beta
luci-app-eqos                                                 , vgit-20.164.74485-0a92c44-1
luci-app-fileassistant                                        , v1.0-2
luci-app-filetransfer                                         , v1-2
luci-app-firewall                                             , vgit-22.089.67741-3856d50
luci-app-frpc                                                 , v1.4-1
luci-app-frps                                                 , v0.0.2-3
luci-app-godproxy                                             , v3.8.5-3-20210421
luci-app-hd-idle                                              , vgit-21.175.10795-3d7bad0-1
luci-app-ipsec-vpnd                                           , v1.0-9
luci-app-kodexplorer                                          , v13-1
luci-app-LingTiGameAcc                                        , v20200726-1
luci-app-linkease                                             , v2.1.0-2
luci-app-mentohust                                            , v4.0.0-1
luci-app-minidlna                                             , vgit-21.175.10795-3d7bad0-1
luci-app-music-remote-center                                  , v1-6
luci-app-mwan3                                                , vgit-21.175.10795-3d7bad0-1
luci-app-mwan3helper                                          , v1-3
luci-app-netdata                                              , v1.0-3
luci-app-nfs                                                  , v1.1-1
luci-app-nlbwmon                                              , vgit-23.013.73667-bb1e09e
luci-app-nps                                                  , v1.1-4
luci-app-oaf                                                  , v5.0-1
luci-app-ocserv                                               , vgit-21.175.10795-3d7bad0-1
luci-app-onliner                                              , v1.1-5
luci-app-openclash                                            , v0.47.055
luci-app-openvpn                                              , vgit-21.175.10795-3d7bad0-1
luci-app-openvpn-server                                       , v2.0-18
luci-app-opkg                                                 , vgit-22.273.29015-e01e38c
luci-app-passwall                                             , v4-26
luci-app-poweroff                                             , v20200726-1
luci-app-pptp-server                                          , v1-7-20210628
luci-app-ps3netsrv                                            , v1-2
luci-app-qbittorrent                                          , v1.0-21
luci-app-ramfree                                              , v1.0-1
luci-app-rclone                                               , v1.4.1-1
luci-app-samba4                                               , vgit-21.181.50546-a9b30b2-1
luci-app-socat                                                , vgit-21.178.65862-1258c4a-3
luci-app-softethervpn                                         , v1.0-3
luci-app-sqm                                                  , v1.4.0-9
luci-app-ssr-plus                                             , v184-9
luci-app-syncdial                                             , v2.0-25
luci-app-syncthing                                            , v1.0-2
luci-app-tencentddns                                          , v0.1.0-1
luci-app-timecontrol                                          , v1.0-1-20200402
luci-app-transmission                                         , vgit-21.175.10795-3d7bad0-1
luci-app-ttyd                                                 , v1.0-3
luci-app-turboacc                                             , vgit-21.181.50546-a9b30b2-4
luci-app-udpxy                                                , vgit-21.175.10795-3d7bad0-1
luci-app-uhttpd                                               , vgit-21.175.10795-3d7bad0-1
luci-app-unblockmusic                                         , v2.3.5-17
luci-app-upnp                                                 , vgit-21.175.10795-3d7bad0-1
luci-app-usb-printer                                          , v1.0-2
luci-app-uugamebooster                                        , v1.0-8
luci-app-v2ray-server                                         , v13-1
luci-app-verysync                                             , v1.0-4
luci-app-vlmcsd                                               , v1.0-5
luci-app-vsftpd                                               , v1.0-3
luci-app-webadmin                                             , v2-1
luci-app-wireguard                                            , vgit-21.175.10795-3d7bad0-1
luci-app-wol                                                  , vgit-21.175.10795-3d7bad0-1
luci-app-wrtbwmon                                             , v1.0-7
luci-app-xlnetacc                                             , v1.0.5-2
luci-app-zerotier                                             , v1.0-20
luci-base                                                     , vgit-23.093.57360-e98243e
luci-compat                                                   , vgit-22.046.85744-f08a0f6
luci-i18n-accesscontrol-zh-cn                                 , v1-11
luci-i18n-adbyby-plus-zh-cn                                   , v2.0-75
luci-i18n-airplay2-zh-cn                                      , v1-10
luci-i18n-amule-zh-cn                                         , vgit-21.181.50546-a9b30b2-1
luci-i18n-aria2-zh-cn                                         , v1.0.1-3
luci-i18n-arpbind-zh-cn                                       , v1-3
luci-i18n-autoreboot-zh-cn                                    , v1.0-8
luci-i18n-base-zh-cn                                          , vgit-21.175.10795-3d7bad0-1
luci-i18n-beardropper-zh-cn                                   , v1.1-20200522
luci-i18n-bonding-zh-cn                                       , vgit-21.181.50546-a9b30b2-1
luci-i18n-cifs-mount-zh-cn                                    , v1-7
luci-i18n-control-timewol-zh-cn                               , v1.0-3-20190309
luci-i18n-control-webrestriction-zh-cn                        , v1.0-5-20200107
luci-i18n-control-weburl-zh-cn                                , v1.0-3-20190309
luci-i18n-ddns-zh-cn                                          , v2.4.9-8
luci-i18n-ddnsto-zh-cn                                        , v1.0.0-1
luci-i18n-filetransfer-zh-cn                                  , v1-2
luci-i18n-firewall-zh-cn                                      , vgit-21.175.10795-3d7bad0-1
luci-i18n-frpc-zh-cn                                          , v1.4-1
luci-i18n-frps-zh-cn                                          , v0.0.2-3
luci-i18n-hd-idle-zh-cn                                       , vgit-21.175.10795-3d7bad0-1
luci-i18n-ipsec-vpnd-zh-cn                                    , v1.0-9
luci-i18n-kodexplorer-zh-cn                                   , v13-1
luci-i18n-linkease-zh-cn                                      , v2.1.0-2
luci-i18n-minidlna-zh-cn                                      , vgit-21.175.10795-3d7bad0-1
luci-i18n-music-remote-center-zh-cn                           , v1-6
luci-i18n-mwan3-zh-cn                                         , vgit-21.175.10795-3d7bad0-1
luci-i18n-mwan3helper-zh-cn                                   , v1-3
luci-i18n-netdata-zh-cn                                       , v1.0-3
luci-i18n-nfs-zh-cn                                           , v1.1-1
luci-i18n-nlbwmon-zh-cn                                       , vgit-23.090.62029-650e6d2
luci-i18n-nps-zh-cn                                           , v1.1-4
luci-i18n-oaf-zh-cn                                           , v5.0-1
luci-i18n-openvpn-server-zh-cn                                , v2.0-18
luci-i18n-openvpn-zh-cn                                       , vgit-21.175.10795-3d7bad0-1
luci-i18n-passwall-zh-cn                                      , v4-26
luci-i18n-poweroff-zh-cn                                      , v20200726-1
luci-i18n-pptp-server-zh-cn                                   , v1-7-20210628
luci-i18n-ps3netsrv-zh-cn                                     , v1-2
luci-i18n-qbittorrent-zh-cn                                   , v1.0-21
luci-i18n-ramfree-zh-cn                                       , v1.0-1
luci-i18n-rclone-zh-cn                                        , v1.4.1-1
luci-i18n-samba4-zh-cn                                        , vgit-21.181.50546-a9b30b2-1
luci-i18n-socat-zh-cn                                         , vgit-21.178.65862-1258c4a-3
luci-i18n-softethervpn-zh-cn                                  , v1.0-3
luci-i18n-sqm-zh-cn                                           , v1.4.0-9
luci-i18n-ssr-plus-zh-cn                                      , v184-9
luci-i18n-syncthing-zh-cn                                     , v1.0-2
luci-i18n-timecontrol-zh-cn                                   , v1.0-1-20200402
luci-i18n-transmission-zh-cn                                  , vgit-21.175.10795-3d7bad0-1
luci-i18n-ttyd-zh-cn                                          , v1.0-3
luci-i18n-turboacc-zh-cn                                      , vgit-21.181.50546-a9b30b2-4
luci-i18n-uhttpd-zh-cn                                        , vgit-21.175.10795-3d7bad0-1
luci-i18n-unblockmusic-zh-cn                                  , v2.3.5-17
luci-i18n-upnp-zh-cn                                          , vgit-21.175.10795-3d7bad0-1
luci-i18n-usb-printer-zh-cn                                   , v1.0-2
luci-i18n-uugamebooster-zh-cn                                 , v1.0-8
luci-i18n-v2ray-server-zh-cn                                  , v13-1
luci-i18n-verysync-zh-cn                                      , v1.0-4
luci-i18n-vlmcsd-zh-cn                                        , v1.0-5
luci-i18n-vsftpd-zh-cn                                        , v1.0-3
luci-i18n-webadmin-zh-cn                                      , v2-1
luci-i18n-wireguard-zh-cn                                     , vgit-21.175.10795-3d7bad0-1
luci-i18n-wol-zh-cn                                           , vgit-21.175.10795-3d7bad0-1
luci-i18n-wrtbwmon-zh-cn                                      , v1.0-7
luci-i18n-zerotier-zh-cn                                      , v1.0-20
luci-lib-base                                                 , vgit-20.232.39649-1f6dc29
luci-lib-docker                                               , vv0.3.4-1
luci-lib-fs                                                   , v1.0-1
luci-lib-ip                                                   , vgit-21.175.10795-3d7bad0-1
luci-lib-ipkg                                                 , vgit-18.318.71164-4bbe325
luci-lib-jsonc                                                , vgit-22.097.61937-bc85ba5
luci-lib-nixio                                                , vgit-21.175.10795-3d7bad0-1
luci-mod-admin-full                                           , vgit-21.175.10795-3d7bad0-1
luci-mod-network                                              , vgit-22.244.54918-77c916e
luci-mod-status                                               , vgit-22.089.70019-d4f0b06
luci-mod-system                                               , vgit-23.013.73129-aa7938d
luci-newapi                                                   , vgit-21.175.10795-3d7bad0-1
luci-proto-bonding                                            , vgit-21.181.50546-a9b30b2-1
luci-proto-ipv6                                               , vgit-21.175.10795-3d7bad0-1
luci-proto-ppp                                                , vgit-21.175.10795-3d7bad0-1
luci-proto-wireguard                                          , vgit-21.175.10795-3d7bad0-1
luci-theme-argon-j                                            , v1.7.2-20210309
luci-theme-atmaterial-ColorIcon                               , v1-20200423
luci-theme-bootstrap                                          , vgit-22.288.45155-afd0012
luci-theme-darkmatter                                         , vunknown-1
luci-theme-edge                                               , v2.5-20210107
luci-theme-infinityfreedom                                    , v1.4.20200613-1
luci-theme-netgear                                            , vgit-21.181.50546-a9b30b2-3
lvm2                                                          , v2.03.12-1
mdadm                                                         , v4.1-2
mentohust                                                     , v4.0.0-2f9ef2d6df5d95c0faa2e542f1cb77114824e697
microsocks                                                    , v1.0.2-2
minidlna                                                      , v1.3.0-1
miniupnpd                                                     , v2.0.20170421-3
mkf2fs                                                        , v1.14.0-1
mount-utils                                                   , v2.36.1-2
mtd                                                           , v26
mwan3                                                         , v2.8.8-2
mxml                                                          , v3.2-1
naiveproxy                                                    , v91.0.4472.77-1-1
nano                                                          , v5.8-1
netdata                                                       , v1.30.1-1
netifd                                                        , v2021-06-04-50381d0a-1
nfs-kernel-server                                             , v2.5.2-1
nfs-kernel-server-utils                                       , v2.5.2-1
nfs-utils                                                     , v2.5.2-1
nfs-utils-libs                                                , v2.5.2-1
nftables-nojson                                               , v0.9.6-2
nginx                                                         , v1.19.6-2
nginx-ssl                                                     , v1.19.6-2
nginx-ssl-util                                                , v1.6-1
nginx-util                                                    , v1.6-1
nlbwmon                                                       , v2020-04-11.1-34a18876-3
node                                                          , vv14.17.1-1
npc                                                           , v0.26.9-1
nspr                                                          , v4.30-1
ocserv                                                        , v1.1.3-1
odhcp6c                                                       , v2021-01-09-53f07e90-18
odhcpd-ipv6only                                               , v2021-06-19-564d25e5-14
oniguruma5                                                    , v6.9.6-1
open-vm-tools                                                 , v11.2.5-1
open-vm-tools-fuse                                            , v11.2.5-1
openssh-sftp-client                                           , v8.6p1-1
openssh-sftp-server                                           , v8.6p1-1
openssl-util                                                  , v1.1.1k-1
openvpn-easy-rsa                                              , v3.0.8-3
openvpn-openssl                                               , v2.5.3-1
openvswitch                                                   , v2.15.0-1
openvswitch-common                                            , v2.15.0-1
openvswitch-libofproto                                        , v2.15.0-1
openvswitch-libopenvswitch                                    , v2.15.0-1
openvswitch-libovsdb                                          , v2.15.0-1
openvswitch-ovsdb                                             , v2.15.0-1
openvswitch-vswitchd                                          , v2.15.0-1
openwrt-keyring                                               , v2021-02-20-49283916-2
opkg                                                          , v2021-06-13-1bf042dd-4
p910nd                                                        , v0.97-9
parted                                                        , v3.4-1
pdnsd-alt                                                     , v1.2.9b-par-3
perl                                                          , v5.28.1-5
perlbase-base                                                 , v5.28.1-5
perlbase-bytes                                                , v5.28.1-5
perlbase-class                                                , v5.28.1-5
perlbase-config                                               , v5.28.1-5
perlbase-cwd                                                  , v5.28.1-5
perlbase-errno                                                , v5.28.1-5
perlbase-essential                                            , v5.28.1-5
perlbase-fcntl                                                , v5.28.1-5
perlbase-file                                                 , v5.28.1-5
perlbase-filehandle                                           , v5.28.1-5
perlbase-i18n                                                 , v5.28.1-5
perlbase-integer                                              , v5.28.1-5
perlbase-io                                                   , v5.28.1-5
perlbase-list                                                 , v5.28.1-5
perlbase-locale                                               , v5.28.1-5
perlbase-params                                               , v5.28.1-5
perlbase-posix                                                , v5.28.1-5
perlbase-re                                                   , v5.28.1-5
perlbase-scalar                                               , v5.28.1-5
perlbase-selectsaver                                          , v5.28.1-5
perlbase-socket                                               , v5.28.1-5
perlbase-symbol                                               , v5.28.1-5
perlbase-tie                                                  , v5.28.1-5
perlbase-unicore                                              , v5.28.1-5
perlbase-utf8                                                 , v5.28.1-5
perlbase-xsloader                                             , v5.28.1-5
php7                                                          , v7.4.20-1
php7-cgi                                                      , v7.4.20-1
php7-fpm                                                      , v7.4.20-1
php7-mod-curl                                                 , v7.4.20-1
php7-mod-dom                                                  , v7.4.20-1
php7-mod-gd                                                   , v7.4.20-1
php7-mod-iconv                                                , v7.4.20-1
php7-mod-json                                                 , v7.4.20-1
php7-mod-mbstring                                             , v7.4.20-1
php7-mod-mysqlnd                                              , v7.4.20-1
php7-mod-opcache                                              , v7.4.20-1
php7-mod-pdo                                                  , v7.4.20-1
php7-mod-pdo-mysql                                            , v7.4.20-1
php7-mod-pdo-sqlite                                           , v7.4.20-1
php7-mod-session                                              , v7.4.20-1
php7-mod-sqlite3                                              , v7.4.20-1
php7-mod-zip                                                  , v7.4.20-1
ppp                                                           , v2.4.8.git-2020-09-04-6
ppp-mod-pppoe                                                 , v2.4.8.git-2020-09-04-6
pptpd                                                         , v1.4.0-5
procd                                                         , v2021-05-05-021ece84-6
proto-bonding                                                 , v2021-04-09-1
ps3netsrv                                                     , v20190630-1
px5g-standalone                                               , v9
python-pip-conf                                               , v0.1-1
python3                                                       , v3.9.5-2
python3-asyncio                                               , v3.9.5-2
python3-base                                                  , v3.9.5-2
python3-bcrypt                                                , v3.1.7-4
python3-cffi                                                  , v1.14.5-1
python3-cgi                                                   , v3.9.5-2
python3-cgitb                                                 , v3.9.5-2
python3-codecs                                                , v3.9.5-2
python3-ctypes                                                , v3.9.5-2
python3-dbm                                                   , v3.9.5-2
python3-decimal                                               , v3.9.5-2
python3-distutils                                             , v3.9.5-2
python3-email                                                 , v3.9.5-2
python3-gdbm                                                  , v3.9.5-2
python3-light                                                 , v3.9.5-2
python3-logging                                               , v3.9.5-2
python3-lzma                                                  , v3.9.5-2
python3-multiprocessing                                       , v3.9.5-2
python3-ncurses                                               , v3.9.5-2
python3-openssl                                               , v3.9.5-2
python3-pip                                                   , v22.0.4-1
python3-pkg-resources                                         , v56.0.0-1
python3-ply                                                   , v3.11-2
python3-pycparser                                             , v2.20-5
python3-pydoc                                                 , v3.9.5-2
python3-readline                                              , v3.9.5-2
python3-setuptools                                            , v58.1.0-1
python3-six                                                   , v1.16.0-1
python3-speedtest-cli                                         , v2.1.3-1
python3-sqlite3                                               , v3.9.5-2
python3-texttable                                             , v1.6.3-1
python3-unittest                                              , v3.9.5-2
python3-urllib                                                , v3.9.5-2
python3-xml                                                   , v3.9.5-2
python3-yaml                                                  , v5.3.1-2
qBittorrent-static                                            , v4.3.6_v1.2.14-1
qemu-ga                                                       , v5.0.0-5
r8169-firmware                                                , v20210511-1
rclone                                                        , v1.53.0-1
rclone-ng                                                     , v0.5.0-1
rclone-webui-react                                            , v0.1.0-1
redsocks2                                                     , v0.67-4
resize2fs                                                     , v1.47.0-1
resolveip                                                     , v2
rpcbind                                                       , v1.2.5-4
rpcd                                                          , v2022-02-19-8d26a1ba-1
rpcd-mod-file                                                 , v2022-02-19-8d26a1ba-1
rpcd-mod-iwinfo                                               , v2022-02-19-8d26a1ba-1
rpcd-mod-luci                                                 , v20210614
rpcd-mod-rrdns                                                , v20170710
rt2800-usb-firmware                                           , v20210511-1
rt61-pci-firmware                                             , v20210511-1
rt73-usb-firmware                                             , v20210511-1
rtl8188eu-firmware                                            , v20210511-1
rtl8192ce-firmware                                            , v20210511-1
rtl8192cu-firmware                                            , v20210511-1
rtl8192de-firmware                                            , v20210511-1
rtl8192eu-firmware                                            , v20210511-1
rtl8192se-firmware                                            , v20210511-1
rtl8192su-firmware                                            , v20210511-1
rtl8723au-firmware                                            , v20210511-1
rtl8723bs-firmware                                            , v20210511-1
rtl8723bu-firmware                                            , v20210511-1
rtl8821ae-firmware                                            , v20210511-1
rtl8822be-firmware                                            , v20210511-1
rtl8822ce-firmware                                            , v20210511-1
ruby                                                          , v3.0.5-1
ruby-bigdecimal                                               , v3.0.1-1
ruby-date                                                     , v3.0.1-1
ruby-dbm                                                      , v3.0.1-1
ruby-digest                                                   , v3.0.1-1
ruby-enc                                                      , v3.0.1-1
ruby-forwardable                                              , v3.0.1-1
ruby-pstore                                                   , v3.0.1-1
ruby-psych                                                    , v3.0.1-1
ruby-stringio                                                 , v3.0.1-1
ruby-strscan                                                  , v3.0.1-1
ruby-yaml                                                     , v3.0.5-1
samba4-client                                                 , v4.13.9-1
samba4-libs                                                   , v4.13.9-1
samba4-server                                                 , v4.13.9-1
samba4-utils                                                  , v4.13.9-1
screen                                                        , v4.8.0-2
shadowsocks-libev-config                                      , v3.3.5-1
shadowsocks-libev-ss-local                                    , v3.3.5-1
shadowsocks-libev-ss-redir                                    , v3.3.5-1
shadowsocks-libev-ss-server                                   , v3.3.5-1
shadowsocks-rust-sslocal                                      , v1.11.1-1
shadowsocks-rust-ssserver                                     , v1.11.1-1
shadowsocksr-libev-ssr-check                                  , v2.5.6-9
shadowsocksr-libev-ssr-local                                  , v2.5.6-9
shadowsocksr-libev-ssr-redir                                  , v2.5.6-9
shadowsocksr-libev-ssr-server                                 , v2.5.6-9
shairport-sync-openssl                                        , v3.3.8-1
shellsync                                                     , v0.2-2
simple-obfs-client                                            , v0.0.5-3
smartmontools                                                 , v7.2-2
snmp-utils                                                    , v5.9-1
snmpd                                                         , v5.9-1
socat                                                         , v1.7.3.4-2
softethervpn5-bridge                                          , v5.01.9674-1
softethervpn5-client                                          , v5.01.9674-1
softethervpn5-libs                                            , v5.01.9674-1
softethervpn5-server                                          , v5.01.9674-1
sqlite3-cli                                                   , v3330000-2
sqm-scripts                                                   , v1.5.0-2
strongswan                                                    , v5.9.2-11
strongswan-charon                                             , v5.9.2-11
strongswan-ipsec                                              , v5.9.2-11
strongswan-minimal                                            , v5.9.2-11
strongswan-mod-aes                                            , v5.9.2-11
strongswan-mod-gmp                                            , v5.9.2-11
strongswan-mod-hmac                                           , v5.9.2-11
strongswan-mod-kernel-libipsec                                , v5.9.2-11
strongswan-mod-kernel-netlink                                 , v5.9.2-11
strongswan-mod-nonce                                          , v5.9.2-11
strongswan-mod-pubkey                                         , v5.9.2-11
strongswan-mod-random                                         , v5.9.2-11
strongswan-mod-sha1                                           , v5.9.2-11
strongswan-mod-socket-default                                 , v5.9.2-11
strongswan-mod-stroke                                         , v5.9.2-11
strongswan-mod-updown                                         , v5.9.2-11
strongswan-mod-x509                                           , v5.9.2-11
strongswan-mod-xauth-generic                                  , v5.9.2-11
strongswan-mod-xcbc                                           , v5.9.2-11
syncthing                                                     , v1.17.0-1
sysfsutils                                                    , v2.1.0-3
tc-full                                                       , v5.11.0-4
tc-mod-iptables                                               , v5.11.0-4
tcping                                                        , v0.3-1
terminfo                                                      , v6.2-2
transmission-daemon-openssl                                   , v2.94-8
transmission-web-control                                      , v2020-09-13-c26a0761-1
tree                                                          , v1.8.0-1
trojan                                                        , v1.16.0-2
trojan-go                                                     , v0.10.4-1
trojan-plus                                                   , v10.0.3-2
ttyd                                                          , v1.6.3-2
ubox                                                          , v2020-10-25-9ef88681-2
ubus                                                          , v2021-06-03-a8cf6782-2
ubusd                                                         , v2021-06-03-a8cf6782-2
uci                                                           , v2021-04-14-4b3db117-5
uclibcxx                                                      , v0.2.5-3
uclient-fetch                                                 , v2021-05-14-6a6011df-1
udpxy                                                         , v1.0-25.1-1
uhttpd                                                        , v2021-03-21-15346de8-2
uhttpd-mod-ubus                                               , v2021-03-21-15346de8-1
UnblockNeteaseMusic                                           , v0.26.0-2021-06-22-a3abdc19-2
UnblockNeteaseMusicGo                                         , v0.2.11-1
unzip                                                         , v6.0-8
urandom-seed                                                  , v3
urngd                                                         , v2020-01-21-c7f7b6b6-2
usb-modeswitch                                                , v2017-12-19-f40f84c2-2
usbids                                                        , v0.347-1
usbutils                                                      , v013-2
usign                                                         , v2020-05-23-f1f65026-1
uugamebooster                                                 , vv2.10.0-8
uuidgen                                                       , v2.36.1-2
v2ray-plugin                                                  , v4.41.0-1
verysync                                                      , vv2.8.2-1
vim                                                           , v8.2-4
virtio-console-helper                                         , v5.0.0-5
vlmcsd                                                        , vsvn1113-3
vsftpd-alt                                                    , v3.0.3-7
webui-aria2                                                   , v2018-12-09-fb9d758d-1
wget-ssl                                                      , v1.21.1-3
wireguard-tools                                               , v1.0.20210223-2
wireless-regdb                                                , v2021.04.21-1
wol                                                           , v0.7.1-3
wsdd2                                                         , v2020-11-19-e0cf50d5-1
xray-core                                                     , v1.4.2-1
xray-geodata                                                  , v1.4.2-1
xray-plugin                                                   , v1.4.2-1
yq                                                            , v4.33.2-1
zerotier                                                      , v1.6.5-1
zlib                                                          , v1.2.11-3
zoneinfo-asia                                                 , v2021a-1
zoneinfo-core                                                 , v2021a-1
